Output format is unaligned.
Field separator is "|".
id|symbol|base_asset|quote_asset|exchange|price_precision|quantity_precision|is_active|coingecko_id|market_cap_rank|market_cap_usd|in_universe|last_ranked_at|last_scanned_at|created_at|updated_at|candle_count|snapshot_count|signal_count
58|VETUSDT|VET|USDT|kucoin|6|0|t|vechain|109|390021865.00000000|t|2026-07-28 10:49:41.927003+00|2026-07-28 10:55:35.537595+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
59|PENGUUSDT|PENGU|USDT|kucoin|6|0|t|pudgy-penguins|111|372285836.00000000|t|2026-07-28 10:49:41.927488+00|2026-07-28 10:55:37.389144+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
60|VIRTUALUSDT|VIRTUAL|USDT|kucoin|4|2|t|virtual-protocol|112|370890721.00000000|t|2026-07-28 10:49:41.928067+00|2026-07-28 10:55:39.269982+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
61|TRUMPUSDT|TRUMP|USDT|kucoin|3|2|t|official-trump|113|367999916.00000000|t|2026-07-28 10:49:41.928665+00|2026-07-28 10:55:41.155311+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
62|SUNUSDT|SUN|USDT|kucoin|5|1|t|sun-token|116|341351905.00000000|t|2026-07-28 10:49:41.929296+00|2026-07-28 10:55:43.004272+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|1996|7|2
63|PYTHUSDT|PYTH|USDT|kucoin|5|4|t|pyth-network|117|335948422.00000000|t|2026-07-28 10:49:41.929934+00|2026-07-28 10:55:44.784002+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
65|CRVUSDT|CRV|USDT|kucoin|4|4|t|curve-dao-token|118|325306483.00000000|t|2026-07-28 10:49:41.93112+00|2026-07-28 10:55:46.669355+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
64|LDOUSDT|LDO|USDT|kucoin|4|4|t|lido-dao|119|324176925.00000000|t|2026-07-28 10:49:41.93161+00|2026-07-28 10:55:48.610435+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
67|NIGHTUSDT|NIGHT|USDT|kucoin|5|1|t|midnight-3|120|316832714.00000000|t|2026-07-28 10:49:41.932122+00|2026-07-28 10:55:52.342274+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|1733|6|2
68|FETUSDT|FET|USDT|kucoin|4|4|t|fetch-ai|121|316491389.00000000|t|2026-07-28 10:49:41.932599+00|2026-07-28 10:55:50.54367+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
69|TIAUSDT|TIA|USDT|kucoin|4|4|t|celestia|122|312882494.00000000|t|2026-07-28 10:49:41.933155+00|2026-07-28 10:55:54.203559+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
70|ZROUSDT|ZRO|USDT|kucoin|4|2|t|layerzero|124|309115358.00000000|t|2026-07-28 10:49:41.933718+00|2026-07-28 10:55:56.042032+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
339|SPXUSDT|SPX|USDT|kucoin|4|2|t|spx6900|125|301644257.00000000|t|2026-07-28 10:49:41.934242+00|2026-07-28 13:00:59.659247+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2009|7|2
340|UBUSDT|UB|USDT|kucoin|6|0|t|unibase|126|299941939.00000000|t|2026-07-28 10:49:41.940932+00|2026-07-28 13:01:01.67984+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|1829|7|2
72|SEIUSDT|SEI|USDT|kucoin|5|1|t|sei-network|128|288647492.00000000|t|2026-07-28 10:49:41.942453+00|2026-07-28 10:55:57.887332+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
73|JTOUSDT|JTO|USDT|kucoin|3|2|t|jito-governance-token|129|282137695.00000000|t|2026-07-28 10:49:41.943107+00|2026-07-28 10:55:59.791157+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
75|LUNCUSDT|LUNC|USDT|kucoin|8|4|t|terra-luna|131|279122033.00000000|t|2026-07-28 10:49:41.944309+00|2026-07-28 10:56:04.410872+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
341|ANTFUNUSDT|ANTFUN|USDT|kucoin|6|0|t|antfun|133|278931933.00000000|t|2026-07-28 10:49:41.944929+00|2026-07-28 13:01:03.208456+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|991|4|2
71|KAITOUSDT|KAITO|USDT|kucoin|5|1|t|kaito|134|279167335.00000000|t|2026-07-28 10:49:41.943731+00|2026-07-28 10:56:02.508989+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
342|BTTUSDT|BTT|USDT|kucoin|10|4|t|bittorrent|135|265103009.00000000|t|2026-07-28 10:49:41.948075+00|2026-07-28 13:01:05.224032+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2009|7|2
343|NFTUSDT|NFT|USDT|kucoin|10|4|t|apenft|136|263748958.00000000|t|2026-07-28 10:49:41.949468+00|2026-07-28 13:01:07.16058+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2009|7|2
76|BONKUSDT|BONK|USDT|kucoin|9|4|t|bonk|138|259029691.00000000|t|2026-07-28 10:49:41.95075+00|2026-07-28 10:56:06.33267+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
78|STXUSDT|STX|USDT|kucoin|4|4|t|blockstack|139|256176930.00000000|t|2026-07-28 10:49:41.951384+00|2026-07-28 10:56:10.138936+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
77|PENDLEUSDT|PENDLE|USDT|kucoin|4|4|t|pendle|140|251342358.00000000|t|2026-07-28 10:49:41.954128+00|2026-07-28 10:56:08.2762+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
345|MONUSDT|MON|USDT|kucoin|5|1|t|monad|141|247568224.00000000|t|2026-07-28 10:49:41.954754+00|2026-07-28 13:01:08.862179+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|1756|7|2
80|KITEUSDT|KITE|USDT|kucoin|5|1|t|kite-2|144|235179142.00000000|t|2026-07-28 10:49:41.956441+00|2026-07-28 10:56:11.885748+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|1769|6|2
81|XTZUSDT|XTZ|USDT|kucoin|4|2|t|tezos|147|224190579.00000000|t|2026-07-28 10:49:41.957614+00|2026-07-28 10:56:13.85945+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
82|CFXUSDT|CFX|USDT|kucoin|5|1|t|conflux-token|148|222818430.00000000|t|2026-07-28 10:49:41.958201+00|2026-07-28 10:56:15.767709+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
83|XPLUSDT|XPL|USDT|kucoin|4|2|t|plasma|152|215945301.00000000|t|2026-07-28 10:49:41.9616+00|2026-07-28 10:56:17.682947+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|1808|6|2
84|JASMYUSDT|JASMY|USDT|kucoin|6|4|t|jasmycoin|156|212109587.00000000|t|2026-07-28 10:49:41.962214+00|2026-07-28 10:56:19.446158+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
347|GRASSUSDT|GRASS|USDT|kucoin|4|2|t|grass|157|206891874.00000000|t|2026-07-28 10:49:41.963418+00|2026-07-28 13:01:10.833266+00|2026-07-28 10:49:41.840667+00|2026-07-28 13:00:23.271679+00|2009|7|2
86|2ZUSDT|2Z|USDT|kucoin|5|1|t|doublezero|158|202710434.00000000|t|2026-07-28 10:49:41.965556+00|2026-07-28 10:56:21.256736+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|1801|6|2
88|OPUSDT|OP|USDT|kucoin|4|3|t|optimism|160|202418521.00000000|t|2026-07-28 10:49:41.966131+00|2026-07-28 10:56:25.072884+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
87|FLOKIUSDT|FLOKI|USDT|kucoin|8|0|t|floki|162|199755657.00000000|t|2026-07-28 10:49:41.966682+00|2026-07-28 10:56:23.151591+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
85|SYRUPUSDT|SYRUP|USDT|kucoin|4|2|t|syrup|163|209165629.00000000|t|2026-07-28 10:49:41.962803+00|2026-07-28 10:56:26.96655+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
89|DCRUSDT|DCR|USDT|kucoin|2|4|t|decred|164|195525349.00000000|t|2026-07-28 10:49:41.970621+00|2026-07-28 10:56:28.741275+00|2026-07-28 08:18:09.247698+00|2026-07-28 10:49:45.451048+00|2001|6|2
